buy_date,buy_price,shares,sell_date,sell_price,return
2022-03-23,563.3284301757812,1775,2022-04-08,541.3681640625,-0.03898306021307811
2022-05-23,504.1311340332031,1906,2022-05-25,500.3120422363281,-0.007575592021704945
2022-05-30,522.2721557617188,1826,2022-06-14,489.8092346191406,-0.062157097184765475
2022-07-18,475.6702880859375,1880,2022-08-25,487.6700744628906,0.02522710936022384
2022-11-09,402.6184997558594,2277,2022-12-08,455.2388610839844,0.13069533903691222
2023-01-10,471.9397888183594,2196,2023-02-21,501.0718994140625,0.06172844775102342
2023-03-22,520.3803100585938,2115,2023-04-13,497.9249267578125,-0.04315186963598377
2023-05-17,506.7118225097656,2078,2023-07-07,554.2056884765625,0.09372953986263376
2023-07-14,579.7089233398438,1987,2023-07-24,547.3394165039062,-0.05583751695497271
2023-08-28,538.5114135742188,2019,2023-09-11,525.759765625,-0.023679438592737072
2023-10-12,542.5006103515625,1957,2023-10-30,524.7459716796875,-0.03272740773576139
2023-11-07,547.4324340820312,1876,2023-12-07,558.282470703125,0.019819864417218475
2023-12-14,577.0646362304688,1815,2024-01-08,578.05615234375,0.0017182063343165203
2024-01-15,581.0307006835938,1806,2024-01-16,575.08154296875,-0.010238973100465176
2024-01-19,620.6914672851562,1673,2024-04-22,739.1431884765625,0.19083832698635683
2024-05-08,798.9121704101562,1548,2024-06-05,850.7119750976562,0.06483792162147976
2024-06-06,890.5579833984375,1478,2024-07-22,939.0,0.0543951292387544
2024-08-15,943.0,1472,2024-09-04,889.0,-0.05726405090137858
2024-09-18,941.0,1391,2024-11-04,1040.0,0.10520722635494155
2024-11-08,1090.0,1327,2024-11-15,1035.0,-0.05045871559633028
2024-12-05,1075.0,1277,2024-12-30,1090.0,0.013953488372093023
